Data::Dumper::BEGIN@23	href=Data-Dumper-pm-6-line.html#23
Carp::_fetch_sub	href=Carp-pm-9-line.html#28
AOC::Base::BEGIN@8	href=AOC-Base-pm-4-line.html#8
LWP::UserAgent::BEGIN@9	href=LWP-UserAgent-pm-17-line.html#9
bytes::import	href=bytes-pm-16-line.html#7
Carp::BEGIN@49	href=Carp-pm-9-line.html#49
LWP::Protocol::BEGIN@7	href=LWP-Protocol-pm-37-line.html#7
strict::import	href=strict-pm-3-line.html#60
Carp::BEGIN@574	href=Carp-pm-9-line.html#574
URI::BEGIN@4	href=URI-pm-27-line.html#4
warnings::unimport	href=warnings-pm-2-line.html#346
HTML::Entities::BEGIN@139	href=HTML-Entities-pm-47-line.html#139
vars::CORE:match	href=vars-pm-46-line.html#vars__CORE_match
HTTP::Response::BEGIN@8	href=HTTP-Response-pm-30-line.html#8
base::__ANON__[/usr/share/perl/5.30/base.pm:76]	href=base-pm-18-line.html#71
Storable::BEGIN@42	href=Storable-pm-23-line.html#42
HTTP::Response::BEGIN@4	href=HTTP-Response-pm-30-line.html#4
Carp::BEGIN@4	href=Carp-pm-9-line.html#4
constant::BEGIN@24	href=constant-pm-7-line.html#24
Storable::BEGIN@81	href=Storable-pm-23-line.html#81
Storable::BEGIN@40	href=Storable-pm-23-line.html#40
constant::BEGIN@4	href=constant-pm-7-line.html#4
HTTP::Message::BEGIN@652	href=HTTP-Message-pm-21-line.html#652
Data::Dumper::BEGIN@12	href=Data-Dumper-pm-6-line.html#12
Carp::BEGIN@3	href=Carp-pm-9-line.html#3
warnings::import	href=warnings-pm-2-line.html#332
Carp::_univ_mod_loaded	href=Carp-pm-9-line.html#119
overloading::unimport	href=overloading-pm-12-line.html#37
constant::CORE:regcomp	href=constant-pm-7-line.html#constant__CORE_regcomp
AOC::Math::maxRef	href=AOC-Math-pm-48-line.html#56
Time::Local::_daygm	href=Time-Local-pm-34-line.html#79
Try::Tiny::BEGIN@7	href=Try-Tiny-pm-38-line.html#7
Data::Dumper::BEGIN@278	href=Data-Dumper-pm-6-line.html#278
HTML::Entities::CORE:subst	href=HTML-Entities-pm-47-line.html#HTML__Entities__CORE_subst
Time::Local::BEGIN@3	href=Time-Local-pm-34-line.html#3
Try::Tiny::ScopeGuard::BEGIN@167	href=Try-Tiny-pm-38-line.html#167
base::BEGIN@4	href=base-pm-18-line.html#4
URI::Escape::CORE:qr	href=URI-Escape-pm-28-line.html#URI__Escape__CORE_qr
main::manhattanDistance	href=solve-pl-1-line.html#52
Data::Dumper::BEGIN@21	href=Data-Dumper-pm-6-line.html#21
main::__ANON__[./solve.pl:322]	href=solve-pl-1-line.html#289
List::Util::BEGIN@9	href=List-Util-pm-41-line.html#9
LWP::UserAgent::BEGIN@7	href=LWP-UserAgent-pm-17-line.html#7
Data::Dumper::_vstring	href=Data-Dumper-pm-6-line.html#Data__Dumper___vstring
Exporter::as_heavy	href=Exporter-pm-15-line.html#15
Storable::BEGIN@487	href=Storable-pm-23-line.html#487
Carp::BEGIN@61	href=Carp-pm-9-line.html#61
